experience_years,education_years,hours_per_week,department,salary,performance
10.7,17.0,36.9,Engineering,81980.0,Low
18.2,19.0,43.1,Engineering,111360.0,Medium
8.3,18.0,47.6,Marketing,84186.0,Medium
5.7,18.0,31.4,Sales,72506.0,Low
10.4,17.0,36.0,Engineering,83162.0,Medium
18.4,20.0,43.0,Engineering,101201.0,Medium
14.5,17.0,34.9,Sales,85580.0,Low
9.9,13.0,34.3,Marketing,77263.0,Medium
9.9,13.0,41.1,Engineering,66782.0,Medium
13.0,17.0,40.5,Sales,97595.0,Medium
9.0,15.0,41.2,Engineering,82671.0,Low
11.0,13.0,49.5,Engineering,85105.0,High
19.4,19.0,31.6,Engineering,115488.0,Medium
18.6,19.0,36.4,Marketing,107424.0,High
16.8,20.0,35.7,Sales,106499.0,Low
2.5,17.0,,Support,62554.0,High
11.1,17.0,37.3,Sales,96818.0,Low
7.3,16.0,31.5,Support,75098.0,Low
18.2,17.0,42.3,Engineering,106480.0,High
6.3,18.0,40.7,Marketing,73662.0,Medium
18.6,17.0,34.0,Sales,116035.0,Medium
4.8,12.0,45.6,Engineering,57937.0,Low
8.4,12.0,43.0,Engineering,70356.0,Medium
19.2,13.0,36.4,Marketing,102775.0,High
11.9,20.0,28.4,Marketing,96951.0,Medium
18.6,14.0,,Marketing,106328.0,Medium
10.8,12.0,42.5,Engineering,69395.0,Medium
4.6,20.0,29.9,Engineering,64460.0,Low
14.3,19.0,40.1,Sales,96748.0,High
10.4,17.0,39.4,Sales,85837.0,Medium
10.1,20.0,33.9,Marketing,90363.0,Medium
2.7,16.0,38.4,Engineering,56623.0,Low
2.9,14.0,36.7,Sales,52079.0,Medium
18.6,17.0,37.8,Support,106717.0,Medium
